COMPANY NAME,ADDRESS,CATEGORY,START DATE,EXPIRY DATE
Digital Virgo Nigeria Limited,"House 4, G Close, 23 Road, Festac Town, Lagos.",Value Added Services SCN ,01/05/2023,30/04/2028
Telvida Int'l Systems Limited,"PLOT PC 12 CHURCHGATE STREET, VICTORIA ISLAND, LAGOS",Value Added Services SNS ,01/05/2023,30/04/2028
Castek Cloud LTD,"No. 44 Faramobi Ajike Street, Anthony Village, Lagos",Value Added Services SCN ,01/05/2023,30/04/2028
Theosdedit Limited,"Victoria Crest Estate 2, Gate 2 Apt. C5 Eleganza Busstop Lekki Express Way",Value Added Services SCN ,01/06/2023,31/05/2028
Martad Education & Skills Development Ltd,"3B, Alegbe Close, Mende Maryland, Lagos.",Value Added Services SCN ,01/09/2023,31/08/2028
Rockymobi Information Technology Company Limited,"No. 95, MKO Garden, Alausa,  Ikeja, Lagos.",Value Added Services SCN ,01/09/2023,31/08/2028
Outsource Global Technologies Limited,"Asta Gallery Complex, Plot 1185, Parkway Road, Cadastral Zone B06, Mabushi District, Abuja.",Value Added Services CCS ,01/10/2023,30/09/2028
VasTitude Technologies Limited,"14 idowu Martins street victoria Island,",Value Added Services SCN ,01/10/2023,30/09/2028
Vascom Telecommunications Limted,"No 9a, Mojisola Onikoyi Estate, off Banana Island road, Ikoyi, Lagos.",Value Added Services SCN ,01/01/2024,31/12/2028
Bazzuz Africa Limited,"No. 3, Akanni Bashorun Street, Lekki Phase 1, Lagos.",Value Added Services SCN ,01/05/2023,30/04/2028
Avanzar Technologies Limited,"7, NURU ONIWO STREET, OFF ADELABU STREET, SURULERE, LAGOS",Value Added Services SCN ,01/09/2023,31/08/2028
Rane Interaktiv Medien Limited,"5TH Floor, 69 Admiralty Way, Lekki Phase 1, Lagos State.",Value Added Services SCN ,01/01/2023,31/12/2027
Finklasic Nigeria Limited,"11, Afusat Street, Igbogbo Bayeku, Ikorodu, Lagos State.",Value Added Services SCN ,01/05/2024,30/04/2029
Payvantage Limited,"2, Dele Omodara Close, Omole Phase 1, Ikeja, Lagos.",Value Added Services SCN ,01/10/2024,30/09/2029
Cyberspace Limited,"33, Saka Tinubu Street, P.O. Box 75484, Victoria Island, Lagos.",Value Added Services SCN ,01/10/2024,30/09/2029
Elrae Technologies Ltd,"25 & 26, Victoria Ironsi Crescent, 41 Road, Gwarinpa, Abuja.",Value Added Services SCN ,01/11/2024,31/10/2029
AE Technologies Ltd,"Suite WW6, 2nd Floor, Tafawa Balewa Square, Onikan, Llagos.",Value Added Services SCN ,01/10/2024,30/09/2029
Clairvoyant Business Options Limited,"No. 19, Ajoa Road, Off Adeniyi Jones Ave, Ikeja, Lagos.",Value Added Services SCN ,01/07/2024,30/06/2029
Top Up and Get Reward Limited,"second floor, estate plaza, emmanuel keshi street, magodo phase 2, GRA, Lagos ",Value Added Services SCN ,01/11/2024,31/10/2029
Celd Innovations Limited,"177, MOSHOOD OLUGBANI STREET OFF LIGALI AYORINDE, VICTORIA ISLAND, LAGOS STATE, NIGERIA",Value Added Services SCN ,01/04/2025,31/03/2030
Baudit Limited,"4 OPEYEMISI BAMIDELE CRESCENT, LEKKI PHASE 1, LAGOS",Value Added Services SCN ,01/01/2025,31/12/2029
BNG Advanced Support Ltd,"Flat 6, 5 Wegbo Street, Iwaya, Lagos State.",Value Added Services SCN ,01/08/2025,31/07/2030
East Atlantic Telecoms Ltd (Formerly Pisi Integrated Services Limited),"Suite WW6, Tafawa Balewa Square, Onikan, Lagos.",Value Added Services SCN ,01/11/2025,31/10/2030
Acceleron Technologies Limited,"2nd Floor, Rear Wing, No. 7, Sumbo Jibowu Street, Off Ribadu Road, Ikoyi, Lagos.",Value Added Services SCN ,01/01/2026,31/12/2030
Fundam Digital Services Ltd,"Workbay, F1 Lagos City Mall, Onikan Lagos Island",Value Added Services SCN ,01/07/2025,30/06/2030
CBI Digital Media Limited (Formerly CBI Broadcasting Ltd),"Plot 1, Emperor Chris Baywood Close, Anthony Village, Lagos.",Value Added Services SCN ,01/10/2025,30/09/2030
Mtarget Telecom Nigeria Limited,"V8, Ventures, 78 Dr. Ezekuse Close, Lekki Phase 1, Lagos.",Value Added Services SCN ,01/04/2021,31/03/2026
Cloud Integrated Limited,"Number 23A House 9, Nepa Quarters, Ladoke Akintola Street, GRA, Ikeja, Lagos, Nigeria.",Value Added Services SCN ,01/04/2021,31/03/2026
Forest Digital Nigeria Limited (Formerly Forest Interactive Limited),"7/9 Molade Okoya, Off Ajose Adeogun, Victoria Island, Lagos State.",Value Added Services SCN ,01/04/2021,31/03/2026
Oasis Management Company Limited,"No. 12, Parakou Crescent, Wuse 2, Abuja.",Value Added Services SCN ,01/04/2021,31/03/2026
Nipol Telecom Limited (Formerly Nipol Mega Empire Ltd),"KM 18, Lekki-Epe Expressway, Osapa, Lekki, Lagos.",Value Added Services CCS ,01/05/2021,30/04/2026
Brainshare Technologies and Services Nigeria Limited,"No 20 Olaitan Sebanjo Street, Lekki Phase 1, Lagos.",Value Added Services SCN ,01/05/2021,30/04/2026
Hollajobs Technologies Limited,"No 3, Tony Oghenejode Close, Lekki Phase 1, Lagos.",Value Added Services SCN ,01/05/2021,30/04/2026
VAS Acquico Limited,"22A Guiness Road, Ogba- Ikeja, Lagos.",Value Added Services SCN ,01/05/2021,30/04/2026
Innovalue Communications Limited,"3 Oluyinka Avenue, Laderin Abeokuta, Ogun State. ",Value Added Services SCN ,01/06/2021,31/05/2026
M-Tay Digital Limited,"Flat 109, Block A6, 1004 Housing Estate, Victoria Island, Lagos.",Value Added Services SCN ,01/05/2021,30/04/2026
Bridgetune Limited,"No. 205 Igbosere road, Lagos Island, Lagos.",Value Added Services SCN ,01/05/2021,30/04/2026
Integrated Telecommunications Limited,"No. 20B, Katsina-Ala Crescent, Maitama, Abuja.",Value Added Services SCN ,01/06/2021,31/05/2026
Delwu Information Services Limited,"Plot 138, Flat 3 Wenikke Briggs close, off Okotie Eboh street, Utako",Value Added Services SCN ,01/06/2021,31/05/2026
Approot Technologies Limited,"75, Allen Avenue, Ikeja,Lagos.",Value Added Services SCN ,01/06/2021,31/05/2026
Interra Networks Limited,"First Floor, BOA Plaza, Independence Avenue, Central Business District, Abuja.",Value Added Services SCN ,01/06/2021,31/05/2026
Moblogic Technologies Limited,No 4 babatope bejide crescent lekki phase 1,Value Added Services SCN ,01/06/2021,31/05/2026
Kinekta Limited,"4th Floor, No 205 Igbosere Road, Lagos Island, Lagos.",Value Added Services SCN ,01/06/2021,31/05/2026
Innovii Nigeria Limited,"No. 26, 3rd Avenue, Gwarimpa, Abuja.",Value Added Services SCN ,01/07/2021,30/06/2026
Total Tim Nigeria Limited,"12 LANDBRIDGE AVENUE, ONIRU ESTATE VICTORIA ISLAND, ETI-OSA,LAGOS STATE",Value Added Services SCN ,01/07/2021,30/06/2026
Monty Mobile International Limited,"No. 142, Ahmadu Bello Way, 10th Floor, Victoria Island, Lagos.",Value Added Services SCN ,01/07/2021,30/06/2026
Saltingstein Limited,"177A, Moshood Olubani Street, Off Ligali Ayorinde Street, Victoria Island, Lagos.",Value Added Services SCN ,01/08/2021,31/07/2026
Settlapp Technologies Ltd,"No. 39, Ikorodu Road, Jibowu, Lagos.",Value Added Services SCN ,01/08/2021,31/07/2026
Exturi Integrated Solutions Limited,"Plot 24/26, NTC/Leaf Road, Iyaganku GRA, Ibadan, Oyo State.",Value Added Services SCN ,01/07/2021,30/06/2026
Intertel Nigeria Limited,"No. 9A, Ayanboye Street, Off Faramobi Ajike Street, Anthony Village, Lagos",Value Added Services SCN ,01/10/2021,30/09/2026
Truflank Limited,"202, Segele Court, 9, Simeon Akinlolu Crescent, Victoria Island, Lagos.",Value Added Services SCN ,01/08/2021,31/07/2026
Thevar Project & Telecoms Limited,"Plot 2 Ekpo Michael Street, Off Embassy Close, VOERA Estate, Arepo, Ogun State",Value Added Services SCN ,01/04/2021,31/03/2026
Lubred Technologies Limited,"12A ABDUL-QUADRI ADEBIYI STREET, MAGODO PHASE 2, LAGOS",Value Added Services SCN ,01/07/2021,30/06/2026
Benedizione Limited,"No 2, Ayinde Street Ojota, Lagos.",Value Added Services SCN ,01/10/2021,30/09/2026
@mobile Telecoms Services Limited,"Plot 870b, Bendel Close, Victoria Island, Lagos.",Value Added Services SCN ,01/04/2021,31/03/2026
Moregive Telecommunications Limited,"Plot 5&7, Isanlu Isin Crescent, Adewole Estate, Illorin, Kwara State.",Value Added Services SCN ,01/07/2021,30/06/2026
Cyber 1 Systems Network International Limited,"Plot 1022 Ken Nnamani Crescent Wuye, Abuja.",Value Added Services SCN ,01/12/2021,30/11/2026
Interlinks Net Nigeria Limited,"No 20, Salvation Close, opebi, Ikeja, Lagos.",Value Added Services SCN ,01/10/2021,30/09/2026
1918 Media Limited,"23 Tokunbo Macualay street, Magodo Phase 2. Lagos state",Value Added Services SCN ,01/09/2021,31/08/2026
